2026-04-13 00:00:47 | INFO     | newsdigest.main | Shutting down...
2026-04-13 00:00:47 | INFO     | newsdigest.app.schedulers.digest_scheduler | APScheduler shut down
2026-04-13 00:00:47 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-13 00:00:47 | INFO     | newsdigest.app.adapters.talkonly | TalkOnly adapter stopped
2026-04-13 00:00:47 | ERROR    | newsdigest.app.adapters.talkonly | getUpdates request failed: 
2026-04-13 00:00:47 | INFO     | newsdigest.main | Shutdown complete
2026-04-13 00:00:48 | INFO     | newsdigest.main | Shutting down...
2026-04-13 00:00:48 | INFO     | newsdigest.app.adapters.talkonly | TalkOnly adapter stopped
2026-04-13 00:00:48 | INFO     | newsdigest.main | Shutdown complete
2026-04-13 00:00:53 | INFO     | newsdigest.main | Using FakeSearchProvider (dev mode)
2026-04-13 00:00:53 | INFO     | newsdigest.main | Starting NewsDigest (env=development)
2026-04-13 00:00:53 | INFO     | newsdigest.main | DB warmed up, offset=1123
2026-04-13 00:00:53 | INFO     | newsdigest.app.adapters.talkonly | Switched to polling mode: Webhook was deleted. Connect mode switched to polling.
2026-04-13 00:00:53 | INFO     | newsdigest.app.adapters.talkonly | TalkOnly adapter started in polling mode
2026-04-13 00:00:53 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-13 00:00:53 | INFO     | newsdigest.app.schedulers.digest_scheduler | APScheduler started
2026-04-13 00:00:53 | INFO     | newsdigest.app.schedulers.digest_scheduler | Restoring scheduled jobs from database...
2026-04-13 00:00:53 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:00:53 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_小米' at 23:30 tz=Asia/Singapore, next_run=2026-04-13 23:30:00+08:00
2026-04-13 00:00:53 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:00:53 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_苹果' at 23:37 tz=Asia/Singapore, next_run=2026-04-13 23:37:00+08:00
2026-04-13 00:00:53 | INFO     | apscheduler.scheduler | Added job "DigestScheduler._execute_push" to job store "default"
2026-04-13 00:00:53 | INFO     | newsdigest.app.schedulers.digest_scheduler | Scheduled job 'digest_1_ai' at 23:39 tz=Asia/Singapore, next_run=2026-04-13 23:39:00+08:00
2026-04-13 00:00:53 | INFO     | newsdigest.app.schedulers.digest_scheduler | Restored 3 scheduled jobs
2026-04-13 00:00:53 | INFO     | newsdigest.main | Polling started with offset=1123
2026-04-13 00:06:07 | INFO     | newsdigest.main | Poll returned 1 msgs in 674ms, offset→1129
2026-04-13 00:06:07 | INFO     | newsdigest.app.controllers.command_handler | Command received: /list args=[] user=7 chat=private:7
2026-04-13 00:06:23 | INFO     | newsdigest.main | Poll returned 1 msgs in 1336ms, offset→1130
2026-04-13 00:06:23 | INFO     | newsdigest.app.controllers.command_handler | Command received: /list args=[] user=7 chat=private:7
2026-04-13 00:06:49 | INFO     | newsdigest.main | Poll returned 1 msgs in 811ms, offset→1131
2026-04-13 00:06:49 | INFO     | newsdigest.app.controllers.command_handler | Command received: /digest args=['ai'] user=7 chat=private:7
2026-04-13 00:06:49 | INFO     | newsdigest.app.controllers.command_handler | Immediate digest requested for 'ai'
2026-04-13 00:06:49 | INFO     | newsdigest.app.services.digest_service | Generating digest for keyword='ai'
2026-04-13 00:06:49 | INFO     | newsdigest.app.services.digest_service | After dedup: 5 items for 'ai'
2026-04-13 00:06:49 | INFO     | newsdigest.app.services.summarizer | Calling Ollama model 'qwen2.5:7b' for keyword 'ai' (5 items)
2026-04-13 00:10:07 | INFO     | newsdigest.main | Poll returned 1 msgs in 1347ms, offset→1135
